Use Case ID,UC-01,UC-02,UC-03,UC-04,UC-05,UC-06,UC-07,UC-08,UC-09,UC-10,UC-11,UC-12,UC-13,UC-14,UC-15,UC-16,UC-17,UC-18
Use Case Name,Register,Login,View Assigned Route,Route Generation,Update Delivery Status,View Earnings,Manage Users,Manage Delivery Partner,Manage Items,Generate Reports,Calculate Salaries,Select Subscription,Select Items,Select Delivery Slot,Make Payment,Track Delivery,View Delivery Status,View Payment History
Created By,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Date Created,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Updated By,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Date Last Updated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Actors,Customer;Admin,Customer;Delivery Partner;Admin,Delivery Partner,Admin;System,Delivery Partner,Delivery Partner,Admin,Admin,Admin,Admin,Admin,Customer,Customer,Customer,Customer,Customer,Customer,Customer
Description,Create account,User login,View assigned route,Generate optimized route,Update delivery progress,View earnings,Manage system users,Manage delivery partners,Manage items,Generate reports,Calculate salaries,Choose subscription plan,Select items,Select delivery slot,Make payment,Track delivery,View delivery status,View payment history
Preconditions,Not registered,Registered user,Partner logged in,Delivery data available,Order assigned,Partner logged in,Admin logged in,Admin logged in,Admin logged in,Admin logged in,Admin logged in,Customer logged in,Customer logged in,Customer logged in,Customer logged in,Order placed,Order placed,Customer logged in
Post conditions,Account created,Session started,Route displayed,Route generated,Status updated,Earnings displayed,User data updated,Partner data updated,Items updated,Report generated,Salaries calculated,Subscription selected,Items selected,Slot reserved,Payment completed,Tracking started,Status displayed,Payment history shown
Normal Flow,Fill form→Validate→Save,Enter credentials→Validate→Login,Open route→View,Collect data→Generate route,Open delivery→Update→Save,Open earnings→View,Add/Edit/Delete users,Add/Edit/Delete partners,Add/Edit/Delete items,Select report→Generate,Fetch data→Calculate,View plans→Select,Select items→Confirm,Choose slot→Confirm,Enter payment→Confirm,Open tracking→View,Open order→View,Open payments→View
Alternate Flows,Email exists,Wrong password,No route assigned,Insufficient data,Invalid update,No deliveries,Invalid data,Invalid data,Invalid data,No data,Incorrect data,Invalid plan,Invalid items,Slot full,Payment failed,Tracking refresh,Order not found,No transactions
Exceptions,DB error,Server error,Map failure,System error,System error,Calculation error,DB error,DB error,DB error,Report error,Calculation error,System error,Validation error,System error,Gateway error,Tracking failure,Server error,DB error
Priority,High,High,High,High,High,Medium,High,High,High,Medium,Medium,High,Medium,High,High,High,High,Medium
Frequency of Use,High,High,Daily,Daily,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Frequent,Frequent,Frequent,Frequent,Daily,Daily,Monthly
Business Rules,Unique email,Valid credentials,Route assigned,Optimization logic,Valid status rules,Earnings formula,User validation,Partner validation,Item validation,Data integrity,Salary rules,Valid subscription,Item availability,Slot capacity,Secure payment,Tracking enabled,Auto update,Secure records
Assumptions,Internet available,Auth service active,Maps API active,Data available,Order exists,Payment policy defined,Admin authorized,System available,Inventory available,Reports available,Correct data,Subscription available,Inventory available,Slots predefined,Payment gateway active,Tracking system active,Tracking system active,Records available
